"State_Name","Constituency_No","Year","Party","Votes","Electors","Constituency_Name","BJP_vote_share"
"andamannicobarislands",1,2019,"BJP",93901,318471,"ANDAMAN & NICOBAR ISLANDS",29.484945254042
"andhrapradesh",1,2019,"BJP",17867,1451418,"ARUKU",1.23100306045536
"andhrapradesh",2,2019,"BJP",8390,1553860,"SRIKAKULAM",0.539945683652324
"andhrapradesh",3,2019,"BJP",7266,1503980,"VIZIANAGARAM",0.483118126570832
"andhrapradesh",4,2019,"BJP",33892,1829300,"VISAKHAPATNAM",1.85273055267042
"andhrapradesh",5,2019,"BJP",13276,1521363,"ANAKAPALLI",0.872638548459506
"andhrapradesh",6,2019,"BJP",9596,1563930,"KAKINADA",0.613582449342362
"andhrapradesh",7,2019,"BJP",11534,1459556,"AMALAPURAM",0.790240319658855
"andhrapradesh",8,2019,"BJP",12334,1534256,"RAJAHMUNDRY",0.803907561710692
"andhrapradesh",9,2019,"BJP",12414,1439691,"NARSAPURAM",0.862268361752626
"andhrapradesh",10,2019,"BJP",8412,1594950,"ELURU",0.527414652496943
"andhrapradesh",11,2019,"BJP",6481,1473347,"MACHILIPATNAM",0.439882797467263
"andhrapradesh",12,2019,"BJP",18504,1652994,"VIJAYAWADA",1.11942330099202
"andhrapradesh",13,2019,"BJP",11841,1706119,"GUNTUR",0.694031307312093
"andhrapradesh",14,2019,"BJP",15486,1670391,"NARASARAOPET",0.92708832842131
"andhrapradesh",15,2019,"BJP",10351,1468671,"BAPATLA",0.704786844705179
"andhrapradesh",16,2019,"BJP",8229,1556469,"ONGOLE",0.528696684611129
"andhrapradesh",17,2019,"BJP",9066,1603220,"NANDYAL",0.565486957498035
"andhrapradesh",18,2019,"BJP",24418,1573009,"KURNOOL",1.55231152523603
"andhrapradesh",19,2019,"BJP",7604,1664160,"ANANTAPUR",0.456927218536679
"andhrapradesh",20,2019,"BJP",13805,1578218,"HINDUPUR",0.874720729328901
"andhrapradesh",21,2019,"BJP",4085,1570330,"KADAPA",0.26013640445002
